Month,year,Population,Participation rate(%),Labour Force,Employed,Unemployed,Unemployment Rate (%),Region,country/province ,date 
Jan,2006,510,68.9,352,326,26,7.3,London,Ontario,Jan-2006
Feb,2006,511,68.5,350,325,25,7,London,Ontario,Feb-2006
Mar,2006,511,69.1,353,330,23,6.6,London,Ontario,Mar-2006
Apr,2006,511,69.9,358,334,24,6.6,London,Ontario,Apr-2006
May,2006,512,69.8,358,337,21,5.8,London,Ontario,May-2006
Jun,2006,513,69.2,355,336,19,5.4,London,Ontario,Jun-2006
Jul,2006,513,68.4,351,330,21,5.9,London,Ontario,Jul-2006
Aug,2006,514,67.9,349,328,21,6.1,London,Ontario,Aug-2006
Sep,2006,514,68.7,353,332,21,5.9,London,Ontario,Sep-2006
Oct,2006,514,69.4,357,336,21,5.9,London,Ontario,Oct-2006
Nov,2006,515,70.3,362,340,22,6,London,Ontario,Nov-2006
Dec,2006,515,70.8,364,343,22,5.9,London,Ontario,Dec-2006
Jan,2007,515,70.5,363,341,22,6,London,Ontario,Jan-2007
Feb,2007,515,70,361,340,21,5.7,London,Ontario,Feb-2007
Mar,2007,516,69.5,358,337,21,5.9,London,Ontario,Mar-2007
Apr,2007,516,69.1,357,335,22,6,London,Ontario,Apr-2007
May,2007,516,68.4,353,333,21,5.8,London,Ontario,May-2007
Jun,2007,517,67.8,350,330,20,5.8,London,Ontario,Jun-2007
Jul,2007,517,68.1,352,332,20,5.6,London,Ontario,Jul-2007
Aug,2007,518,68.5,355,334,20,5.7,London,Ontario,Aug-2007
Sep,2007,518,69.4,360,339,21,5.8,London,Ontario,Sep-2007
Oct,2007,518,69.7,362,340,21,5.8,London,Ontario,Oct-2007
Nov,2007,519,69.7,361,338,23,6.4,London,Ontario,Nov-2007
Dec,2007,519,69.4,360,335,25,6.9,London,Ontario,Dec-2007
Jan,2008,519,69.1,359,334,25,7,London,Ontario,Jan-2008
Feb,2008,520,68.9,358,334,24,6.8,London,Ontario,Feb-2008
Mar,2008,520,68.6,356,332,24,6.7,London,Ontario,Mar-2008
Apr,2008,520,68.3,355,330,25,7,London,Ontario,Apr-2008
May,2008,521,67.9,354,329,25,7.1,London,Ontario,May-2008
Jun,2008,521,67.6,352,327,25,7.2,London,Ontario,Jun-2008
Jul,2008,522,67.2,351,327,23,6.6,London,Ontario,Jul-2008
Aug,2008,522,67.6,353,331,22,6.2,London,Ontario,Aug-2008
Sep,2008,522,67.8,354,330,24,6.8,London,Ontario,Sep-2008
Oct,2008,523,67.7,354,329,25,6.9,London,Ontario,Oct-2008
Nov,2008,523,67.3,352,325,27,7.5,London,Ontario,Nov-2008
Dec,2008,523,67.4,352,324,28,8,London,Ontario,Dec-2008
Jan,2009,523,67.3,352,320,32,9.1,London,Ontario,Jan-2009
Feb,2009,523,67.5,353,319,34,9.7,London,Ontario,Feb-2009
Mar,2009,523,67.2,352,316,35,10,London,Ontario,Mar-2009
Apr,2009,523,66.4,348,313,35,10,London,Ontario,Apr-2009
May,2009,524,67.1,351,313,39,11.1,London,Ontario,May-2009
Jun,2009,524,67.2,352,315,37,10.5,London,Ontario,Jun-2009
Jul,2009,525,67.1,352,316,36,10.1,London,Ontario,Jul-2009
Aug,2009,525,66.5,349,313,36,10.2,London,Ontario,Aug-2009
Sep,2009,525,66.7,350,314,36,10.3,London,Ontario,Sep-2009
Oct,2009,526,67.1,353,317,36,10.2,London,Ontario,Oct-2009
Nov,2009,526,67.8,357,322,35,9.7,London,Ontario,Nov-2009
Dec,2009,526,67.1,353,321,32,9,London,Ontario,Dec-2009
Jan,2010,526,67,353,322,31,8.8,London,Ontario,Jan-2010
Feb,2010,527,66.4,350,319,31,8.9,London,Ontario,Feb-2010
Mar,2010,527,66.2,349,318,31,8.8,London,Ontario,Mar-2010
Apr,2010,527,66.3,350,320,30,8.5,London,Ontario,Apr-2010
May,2010,528,66.7,352,323,29,8.3,London,Ontario,May-2010
Jun,2010,528,66.9,353,326,27,7.7,London,Ontario,Jun-2010
Jul,2010,529,66.6,352,324,28,7.9,London,Ontario,Jul-2010
Aug,2010,529,66.2,350,320,30,8.5,London,Ontario,Aug-2010
Sep,2010,530,65.2,345,316,30,8.6,London,Ontario,Sep-2010
Oct,2010,530,65.3,346,317,29,8.4,London,Ontario,Oct-2010
Nov,2010,530,65.9,349,321,28,8,London,Ontario,Nov-2010
Dec,2010,530,66,350,321,29,8.3,London,Ontario,Dec-2010
Jan,2011,530,65.7,349,320,29,8.2,London,Ontario,Jan-2011
Feb,2011,531,64.9,344,316,29,8.3,London,Ontario,Feb-2011
Mar,2011,531,65.4,348,318,29,8.5,London,Ontario,Mar-2011
Apr,2011,531,66.2,352,322,30,8.4,London,Ontario,Apr-2011
May,2011,532,66,351,320,31,8.8,London,Ontario,May-2011
Jun,2011,532,65.8,350,318,32,9,London,Ontario,Jun-2011
Jul,2011,532,65.6,349,318,31,9,London,Ontario,Jul-2011
Aug,2011,533,65.8,351,320,31,8.7,London,Ontario,Aug-2011
Sep,2011,533,66,352,321,31,8.8,London,Ontario,Sep-2011
Oct,2011,534,65.5,350,318,31,8.9,London,Ontario,Oct-2011
Nov,2011,534,65.3,349,316,32,9.3,London,Ontario,Nov-2011
Dec,2011,535,64.8,346,315,31,8.9,London,Ontario,Dec-2011
Jan,2012,535,64.8,347,316,31,9,London,Ontario,Jan-2012
Feb,2012,535,64.2,344,314,29,8.5,London,Ontario,Feb-2012
Mar,2012,536,64,343,316,27,7.8,London,Ontario,Mar-2012
Apr,2012,536,64.7,347,320,27,7.7,London,Ontario,Apr-2012
May,2012,536,65.1,349,322,27,7.7,London,Ontario,May-2012
Jun,2012,537,65.5,352,324,27,7.7,London,Ontario,Jun-2012
Jul,2012,537,65.7,353,326,27,7.7,London,Ontario,Jul-2012
Aug,2012,538,65.8,354,325,28,8,London,Ontario,Aug-2012
Sep,2012,538,66.1,355,328,28,7.8,London,Ontario,Sep-2012
Oct,2012,538,65.6,353,323,30,8.6,London,Ontario,Oct-2012
Nov,2012,538,65.2,351,321,30,8.4,London,Ontario,Nov-2012
Dec,2012,539,64.6,348,320,28,8.1,London,Ontario,Dec-2012
Jan,2013,539,64.5,347,321,27,7.6,London,Ontario,Jan-2013
Feb,2013,539,64.7,349,322,27,7.7,London,Ontario,Feb-2013
Mar,2013,539,65.1,351,322,29,8.3,London,Ontario,Mar-2013
Apr,2013,540,65.2,352,323,29,8.4,London,Ontario,Apr-2013
May,2013,540,65.5,354,324,29,8.3,London,Ontario,May-2013
Jun,2013,540,65.6,355,326,29,8.2,London,Ontario,Jun-2013
Jul,2013,541,65.1,352,323,29,8.2,London,Ontario,Jul-2013
Aug,2013,541,64.7,350,321,29,8.2,London,Ontario,Aug-2013
Sep,2013,541,63.8,345,318,27,7.8,London,Ontario,Sep-2013
Oct,2013,542,63.6,344,318,27,7.7,London,Ontario,Oct-2013
Nov,2013,542,63.5,344,320,24,6.8,London,Ontario,Nov-2013
Dec,2013,542,63.7,345,320,25,7.2,London,Ontario,Dec-2013
Jan,2014,542,63.5,344,320,24,7,London,Ontario,Jan-2014
Feb,2014,542,63.8,346,320,26,7.5,London,Ontario,Feb-2014
Mar,2014,543,63.7,346,320,26,7.4,London,Ontario,Mar-2014
Apr,2014,543,64,348,322,26,7.5,London,Ontario,Apr-2014
May,2014,543,64,348,323,25,7.1,London,Ontario,May-2014
Jun,2014,544,63.9,348,324,24,6.8,London,Ontario,Jun-2014
Jul,2014,544,64.5,351,327,24,6.7,London,Ontario,Jul-2014
Aug,2014,544,64.1,349,325,24,6.7,London,Ontario,Aug-2014
Sep,2014,545,63.7,347,323,24,6.8,London,Ontario,Sep-2014
Oct,2014,545,63.1,344,322,22,6.4,London,Ontario,Oct-2014
Nov,2014,545,62.7,342,319,23,6.6,London,Ontario,Nov-2014
Dec,2014,546,62.8,342,321,22,6.3,London,Ontario,Dec-2014
Jan,2015,546,62.8,343,321,22,6.4,London,Ontario,Jan-2015
Feb,2015,546,63.2,345,322,23,6.7,London,Ontario,Feb-2015
Mar,2015,546,63.1,344,321,23,6.8,London,Ontario,Mar-2015
Apr,2015,546,62.1,340,318,22,6.4,London,Ontario,Apr-2015
May,2015,547,61.9,338,321,18,5.3,London,Ontario,May-2015
Jun,2015,547,63.1,345,329,17,4.8,London,Ontario,Jun-2015
Jul,2015,548,64.4,353,335,18,5.2,London,Ontario,Jul-2015
Aug,2015,549,65.5,359,340,19,5.4,London,Ontario,Aug-2015
Sep,2015,549,65.1,358,334,23,6.5,London,Ontario,Sep-2015
Oct,2015,550,65,358,333,25,6.9,London,Ontario,Oct-2015
Nov,2015,550,64.2,354,329,25,7,London,Ontario,Nov-2015
Dec,2015,551,63.6,350,329,21,6.1,London,Ontario,Dec-2015
Jan,2016,551,63.3,349,330,19,5.4,London,Ontario,Jan-2016
Feb,2016,552,63.4,350,329,21,6,London,Ontario,Feb-2016
Mar,2016,553,63.9,353,330,23,6.6,London,Ontario,Mar-2016
Apr,2016,553,64.3,356,329,27,7.5,London,Ontario,Apr-2016
May,2016,554,64.3,356,334,22,6.3,London,Ontario,May-2016
Jun,2016,555,64.6,358,337,22,6,London,Ontario,Jun-2016
Jul,2016,556,64.1,356,335,21,6,London,Ontario,Jul-2016
Aug,2016,557,64.2,358,335,22,6.2,London,Ontario,Aug-2016
Sep,2016,558,63.4,354,333,21,5.9,London,Ontario,Sep-2016
Oct,2016,559,62.8,351,332,19,5.4,London,Ontario,Oct-2016
Nov,2016,560,62.1,348,327,20,5.9,London,Ontario,Nov-2016
Dec,2016,561,62.1,348,326,22,6.3,London,Ontario,Dec-2016
Jan,2017,562,62.2,349,328,22,6.2,London,Ontario,Jan-2017
Feb,2017,563,62.5,352,333,19,5.3,London,Ontario,Feb-2017
Mar,2017,564,63.7,359,339,21,5.8,London,Ontario,Mar-2017
Apr,2017,565,63.7,360,340,20,5.5,London,Ontario,Apr-2017
May,2017,566,64.3,364,342,23,6.2,London,Ontario,May-2017
Jun,2017,568,63.5,360,340,20,5.6,London,Ontario,Jun-2017
Jul,2017,569,63.2,360,341,19,5.2,London,Ontario,Jul-2017
Aug,2017,570,61.7,352,335,17,4.9,London,Ontario,Aug-2017
Sep,2017,571,61,349,330,19,5.3,London,Ontario,Sep-2017
Oct,2017,572,61,349,329,20,5.8,London,Ontario,Oct-2017
Nov,2017,573,61.6,353,332,21,6,London,Ontario,Nov-2017
Dec,2017,575,61.7,354,332,23,6.4,London,Ontario,Dec-2017
Jan,2018,576,61.4,354,330,23,6.6,London,Ontario,Jan-2018
Feb,2018,577,61.8,357,334,23,6.5,London,Ontario,Feb-2018
Mar,2018,578,62.4,361,339,22,6.2,London,Ontario,Mar-2018
Apr,2018,580,62.3,361,341,20,5.6,London,Ontario,Apr-2018
May,2018,581,62.2,362,341,21,5.7,London,Ontario,May-2018
Jun,2018,582,62.8,366,344,22,5.9,London,Ontario,Jun-2018
Jul,2018,583,63.5,371,349,22,5.8,London,Ontario,Jul-2018
Aug,2018,584,63.2,370,348,21,5.8,London,Ontario,Aug-2018
Sep,2018,585,63.7,373,352,21,5.6,London,Ontario,Sep-2018
Oct,2018,586,63.2,370,352,18,4.9,London,Ontario,Oct-2018
Nov,2018,587,62.5,367,347,20,5.5,London,Ontario,Nov-2018
Dec,2018,588,62.2,366,346,20,5.4,London,Ontario,Dec-2018
Jan,2019,589,62.3,367,346,21,5.7,London,Ontario,Jan-2019
Feb,2019,590,62.5,368,348,20,5.5,London,Ontario,Feb-2019
Mar,2019,590,61.9,366,346,20,5.5,London,Ontario,Mar-2019
Apr,2019,591,61.4,363,344,19,5.2,London,Ontario,Apr-2019
May,2019,592,60,355,339,16,4.5,London,Ontario,May-2019
Jun,2019,593,59.8,355,339,16,4.5,London,Ontario,Jun-2019
Jul,2019,595,59.7,355,335,20,5.6,London,Ontario,Jul-2019
Aug,2019,596,60.9,363,342,21,5.9,London,Ontario,Aug-2019
Sep,2019,597,61,364,342,22,6,London,Ontario,Sep-2019
Oct,2019,598,61.4,367,346,21,5.7,London,Ontario,Oct-2019
Nov,2019,600,62.1,372,353,20,5.3,London,Ontario,Nov-2019
Dec,2019,600,62.2,374,354,20,5.2,London,Ontario,Dec-2019
Jan,2020,602,62.6,376,358,18,4.9,London,Ontario,Jan-2020
Feb,2020,603,62.6,377,357,20,5.3,London,Ontario,Feb-2020
Mar,2020,604,61.2,370,341,29,7.7,London,Ontario,Mar-2020
Apr,2020,605,57.5,348,307,41,11.8,London,Ontario,Apr-2020
May,2020,605,59.3,359,311,48,13.3,London,Ontario,May-2020
Jun,2020,606,61.9,375,335,41,10.8,London,Ontario,Jun-2020
Jul,2020,607,62.4,379,348,31,8.2,London,Ontario,Jul-2020
Aug,2020,608,62.5,380,353,27,7.2,London,Ontario,Aug-2020
Sep,2020,609,63.1,384,357,27,7.1,London,Ontario,Sep-2020
Oct,2020,610,62.7,382,354,29,7.5,London,Ontario,Oct-2020
Nov,2020,611,62.2,380,350,30,7.9,London,Ontario,Nov-2020
Dec,2020,611,63.6,389,353,36,9.2,London,Ontario,Dec-2020
Jan,2021,612,63.3,387,352,35,9.1,London,Ontario,Jan-2021
Feb,2021,613,64.6,396,366,30,7.7,London,Ontario,Feb-2021
Mar,2021,614,65,399,373,25,6.3,London,Ontario,Mar-2021
Apr,2021,614,65.4,402,365,37,9.2,London,Ontario,Apr-2021
May,2021,615,65.8,405,363,42,10.3,London,Ontario,May-2021
Jun,2021,616,66.5,410,371,38,9.4,London,Ontario,Jun-2021
Jul,2021,617,66.1,408,376,32,7.8,London,Ontario,Jul-2021
Aug,2021,618,65.5,405,376,29,7.1,London,Ontario,Aug-2021
Sep,2021,620,65.3,405,376,29,7.2,London,Ontario,Sep-2021
Oct,2021,621,65.5,407,379,27,6.7,London,Ontario,Oct-2021
Nov,2021,623,66.2,412,385,27,6.5,London,Ontario,Nov-2021
Dec,2021,624,67.1,419,394,25,5.9,London,Ontario,Dec-2021
Jan,2022,625,66.8,418,389,29,6.9,London,Ontario,Jan-2022
Feb,2022,627,66.8,418,397,21,5,London,Ontario,Feb-2022
Mar,2022,628,67,421,401,20,4.7,London,Ontario,Mar-2022
Apr,2022,629,67.5,425,403,21,5,London,Ontario,Apr-2022
May,2022,631,67.8,427,405,23,5.3,London,Ontario,May-2022
Jun,2022,632,66.9,423,399,23,5.5,London,Ontario,Jun-2022
Jul,2022,633,66.5,421,398,23,5.5,London,Ontario,Jul-2022
Aug,2022,635,65.8,418,393,25,5.9,London,Ontario,Aug-2022
Sep,2022,636,65.8,419,395,24,5.7,London,Ontario,Sep-2022
Oct,2022,638,65.9,420,397,23,5.6,London,Ontario,Oct-2022
Nov,2022,639,65.6,419,398,21,5,London,Ontario,Nov-2022
Dec,2022,640,65.6,420,400,20,4.7,London,Ontario,Dec-2022
Jan,2023,642,66.1,424,404,20,4.8,London,Ontario,Jan-2023
Feb,2023,644,66.1,426,405,21,4.9,London,Ontario,Feb-2023
Mar,2023,646,65.1,421,399,22,5.1,London,Ontario,Mar-2023
Apr,2023,648,64.3,417,397,20,4.7,London,Ontario,Apr-2023
May,2023,650,64,416,395,21,5.1,London,Ontario,May-2023
Jun,2023,652,64,418,396,22,5.2,London,Ontario,Jun-2023
Jul,2023,654,64.1,420,396,23,5.6,London,Ontario,Jul-2023
Aug,2023,657,65.1,427,403,24,5.7,London,Ontario,Aug-2023
Sep,2023,659,66,435,409,26,5.9,London,Ontario,Sep-2023
Oct,2023,661,66.2,438,413,25,5.7,London,Ontario,Oct-2023
Nov,2023,663,65.7,436,411,25,5.8,London,Ontario,Nov-2023
Dec,2023,665,65.5,436,411,24,5.6,London,Ontario,Dec-2023
Jan,2024,668,65.5,438,413,25,5.7,London,Ontario,Jan-2024
Feb,2024,670,65.9,442,416,26,5.9,London,Ontario,Feb-2024
Mar,2024,672,66.2,445,418,27,6.1,London,Ontario,Mar-2024
Apr,2024,675,65.8,444,419,26,5.7,London,Ontario,Apr-2024
May,2024,677,65.7,445,420,25,5.7,London,Ontario,May-2024
Jun,2024,680,65.3,444,416,28,6.3,London,Ontario,Jun-2024
Jul,2024,682,64.8,442,413,30,6.7,London,Ontario,Jul-2024
Aug,2024,684,64,438,406,32,7.3,London,Ontario,Aug-2024
Sep,2024,686,64.1,440,409,30,6.9,London,Ontario,Sep-2024
Oct,2024,688,64.2,442,413,29,6.5,London,Ontario,Oct-2024
Nov,2024,689,65,448,419,30,6.6,London,Ontario,Nov-2024
Dec,2024,691,65.4,452,423,29,6.4,London,Ontario,Dec-2024
Jan,2025,692,65.5,454,426,28,6.2,London,Ontario,Jan-2025
Feb,2025,693,64.8,449,423,26,5.7,London,Ontario,Feb-2025
Mar,2025,694,63.9,444,420,23,5.3,London,Ontario,Mar-2025
Apr,2025,695,63.3,440,414,26,5.9,London,Ontario,Apr-2025
May,2025,696,63.3,440,412,28,6.4,London,Ontario,May-2025
Jan,2006,85,70.5,60,56,4,6.5,oxford,Ontario,Jan-2006
Feb,2006,85,70.1,59,56,4,6.2,oxford,Ontario,Feb-2006
Mar,2006,85,70.7,60,56,4,6,oxford,Ontario,Mar-2006
Apr,2006,85,71.6,61,57,4,6.4,oxford,Ontario,Apr-2006
May,2006,85,71.5,61,57,4,5.9,oxford,Ontario,May-2006
Jun,2006,85,70.9,60,57,3,5.3,oxford,Ontario,Jun-2006
Jul,2006,85,70.1,60,56,4,6.1,oxford,Ontario,Jul-2006
Aug,2006,85,69.7,59,56,3,5.4,oxford,Ontario,Aug-2006
Sep,2006,85,70.4,60,57,3,5.7,oxford,Ontario,Sep-2006
Oct,2006,85,71.2,61,57,3,5.2,oxford,Ontario,Oct-2006
Nov,2006,85,72.2,61,58,3,5.3,oxford,Ontario,Nov-2006
Dec,2006,85,72.7,62,58,4,6,oxford,Ontario,Dec-2006
Jan,2007,85,72.4,62,58,4,6.2,oxford,Ontario,Jan-2007
Feb,2007,85,72,61,58,4,5.7,oxford,Ontario,Feb-2007
Mar,2007,85,71.4,61,57,4,6.3,oxford,Ontario,Mar-2007
Apr,2007,85,71.1,60,56,4,7.3,oxford,Ontario,Apr-2007
May,2007,85,70.4,60,57,3,5.6,oxford,Ontario,May-2007
Jun,2007,85,69.8,59,56,3,5.4,oxford,Ontario,Jun-2007
Jul,2007,85,70.1,60,57,3,5.3,oxford,Ontario,Jul-2007
Aug,2007,85,70.6,60,57,3,5.4,oxford,Ontario,Aug-2007
Sep,2007,85,71.5,61,58,3,5.3,oxford,Ontario,Sep-2007
Oct,2007,85,71.8,61,58,3,5.5,oxford,Ontario,Oct-2007
Nov,2007,85,71.8,61,58,4,5.9,oxford,Ontario,Nov-2007
Dec,2007,85,71.5,61,57,4,6.7,oxford,Ontario,Dec-2007
Jan,2008,85,71.2,61,57,4,6.9,oxford,Ontario,Jan-2008
Feb,2008,86,71,61,57,4,6.5,oxford,Ontario,Feb-2008
Mar,2008,86,70.6,60,56,4,6.6,oxford,Ontario,Mar-2008
Apr,2008,86,70.3,60,57,4,6.1,oxford,Ontario,Apr-2008
May,2008,86,70,60,56,4,7.2,oxford,Ontario,May-2008
Jun,2008,86,69.6,60,55,4,7.3,oxford,Ontario,Jun-2008
Jul,2008,86,69.2,59,55,4,6.7,oxford,Ontario,Jul-2008
Aug,2008,86,69.6,60,56,4,6.4,oxford,Ontario,Aug-2008
Sep,2008,86,69.9,60,56,4,6.9,oxford,Ontario,Sep-2008
Oct,2008,86,69.8,60,56,4,7.1,oxford,Ontario,Oct-2008
Nov,2008,86,69.3,60,54,6,9.2,oxford,Ontario,Nov-2008
Dec,2008,86,69.5,60,55,5,7.8,oxford,Ontario,Dec-2008
Jan,2009,86,69.3,60,53,7,11.1,oxford,Ontario,Jan-2009
Feb,2009,86,69.5,60,53,7,11.6,oxford,Ontario,Feb-2009
Mar,2009,86,69.3,60,52,7,12,oxford,Ontario,Mar-2009
Apr,2009,86,68.5,59,52,7,12.4,oxford,Ontario,Apr-2009
May,2009,86,69.2,60,51,9,14.4,oxford,Ontario,May-2009
Jun,2009,86,69.3,60,52,8,12.5,oxford,Ontario,Jun-2009
Jul,2009,86,69.2,60,53,7,11,oxford,Ontario,Jul-2009
Aug,2009,86,68.6,59,52,7,11.2,oxford,Ontario,Aug-2009
Sep,2009,86,68.8,59,53,7,11.2,oxford,Ontario,Sep-2009
Oct,2009,86,69.2,60,53,7,10.9,oxford,Ontario,Oct-2009
Nov,2009,86,69.9,60,54,6,10.7,oxford,Ontario,Nov-2009
Dec,2009,86,69.2,60,54,6,9.3,oxford,Ontario,Dec-2009
Jan,2010,86,69,60,54,6,9.2,oxford,Ontario,Jan-2010
Feb,2010,87,68.4,59,54,6,9.4,oxford,Ontario,Feb-2010
Mar,2010,87,68.1,59,54,5,9.2,oxford,Ontario,Mar-2010
Apr,2010,87,68.3,59,54,5,8.7,oxford,Ontario,Apr-2010
May,2010,87,68.7,60,55,5,8.5,oxford,Ontario,May-2010
Jun,2010,87,68.9,60,55,5,7.5,oxford,Ontario,Jun-2010
Jul,2010,87,68.5,60,55,5,7.5,oxford,Ontario,Jul-2010
Aug,2010,87,68.1,59,54,5,8.2,oxford,Ontario,Aug-2010
Sep,2010,87,67.1,58,54,5,7.9,oxford,Ontario,Sep-2010
Oct,2010,87,67.1,59,54,5,8,oxford,Ontario,Oct-2010
Nov,2010,87,67.7,59,55,5,7.7,oxford,Ontario,Nov-2010
Dec,2010,87,67.9,59,55,5,7.6,oxford,Ontario,Dec-2010
Jan,2011,87,67.5,59,54,5,8.1,oxford,Ontario,Jan-2011
Feb,2011,87,66.7,58,54,5,8.1,oxford,Ontario,Feb-2011
Mar,2011,87,67.2,59,54,5,8.4,oxford,Ontario,Mar-2011
Apr,2011,88,68,59,55,5,8.3,oxford,Ontario,Apr-2011
May,2011,88,67.7,59,54,5,9.2,oxford,Ontario,May-2011
Jun,2011,88,67.5,59,53,6,10.3,oxford,Ontario,Jun-2011
Jul,2011,88,67.2,59,53,6,9.5,oxford,Ontario,Jul-2011
Aug,2011,88,67.5,59,54,5,8.9,oxford,Ontario,Aug-2011
Sep,2011,88,67.7,60,55,5,8.4,oxford,Ontario,Sep-2011
Oct,2011,88,67.2,59,54,5,8.4,oxford,Ontario,Oct-2011
Nov,2011,88,66.9,59,54,5,8.8,oxford,Ontario,Nov-2011
Dec,2011,88,66.4,59,54,5,8.3,oxford,Ontario,Dec-2011
Jan,2012,88,66.5,59,54,5,8.6,oxford,Ontario,Jan-2012
